286191384 3.612095803e+00 1.572973792e+03 9.937816898e-01 8.348786473e+00 -1.350938084e-04 -1.433927110e-02 8.480271378e+01 9.630564307e-01  7315  7250 1
269852699 5.136473714e+00 1.653934920e+03 5.961793880e-01 1.245615638e+01 5.545589294e-05  -3.801408481e-02 8.555840069e+01 2.413226967e-01  6172  5507 1
153709888 4.332751554e+00 1.438632392e+03 4.204663381e-01 9.122534025e+00 -3.194855464e-06 -3.784671852e-02 8.391349175e+01 1.302010853e-01  6030  5517 1
307488184 1.006688996e+01 1.578299686e+03 3.589824894e-01 2.221136978e+01 1.459351646e-02  -4.781201134e-02 8.952630135e+01 1.402981112e-02  5610  3432 1
185980914 3.491476593e+00 1.519527166e+03 1.196132963e+00 5.442507384e+00 -4.155433516e-06 -1.146322893e-02 8.808628924e+01 1.211546076e+00  7888  7424 1
  9381557 1.180730458e+01 1.440552524e+03 2.805907493e-01 6.538111220e+00 3.186875849e-04  -1.057579569e-02 8.983483553e+01 1.829908374e-01  5540  7233 1
 80650858 1.915855413e+00 1.519084475e+03 5.576903002e-01 4.573697383e+00 -9.649285159e-06 -1.627737060e-02 8.720580023e+01 1.157148737e-01 30912 16506 1
147214032 2.487733519e+00 1.573224557e+03 1.215383595e+00 8.072954096e+00 2.002419821e-04  -1.242676180e-02 8.553354227e+01 1.480163467e+00  7632  7638 1
175405906 2.012929831e+00 1.356100281e+03 7.538306323e-01 3.456769514e+00 2.967930939e-04  -1.649253821e-02 8.162676225e+01 1.240716576e-01  8497  5180 1
391902612 4.552245917e+00 1.440604165e+03 1.291220507e+00 6.257124272e+00 6.118065325e-04  -4.974419824e-03 8.696111157e+01 3.453248566e-01  7461  4718 1
266735682 1.135241087e+00 1.386050879e+03 8.239473902e-01 3.689495588e+00 4.018457275e-05  -1.160286987e-02 7.949605331e+01 1.003062098e-01  8136  4608 1
334886280 1.199813662e+01 1.550105173e+03 8.122862798e-01 1.462679634e+01 3.844835952e-04  -3.913578342e-02 8.608600669e+01 5.618064220e-01  6682  6339 1
 66509654 5.289470149e+00 1.493886114e+03 1.408411647e+00 4.416725646e+01 -2.433070312e-05 -4.289457869e-05 8.950099076e+01 1.961908085e+00  3036  3031 1
152223725 4.436319327e+00 1.325454198e+03 7.626800531e-01 3.918844930e+00 1.512999009e-04  5.553387701e-03  8.789332410e+01 1.259267220e-01  7939  4960 1
121568625 8.465209781e+00 1.439045410e+03 6.821564257e-01 1.404588569e+01 6.722554041e-03  -8.593887044e-03 8.703928135e+01 3.731727480e-01  6379  5953 0
155540827 3.650520970e+00 1.355311566e+03 7.336155659e-01 7.558421742e+00 -4.508620552e-03 -1.357039898e-02 8.481941536e+01 5.086245507e-01  7029  6895 1
 18914916 1.128563557e+01 1.494113790e+03 4.593270571e-01 2.938917081e+01 -4.277915241e-03 -6.799418733e-02 8.862374678e+01 2.372601948e-02  5460  3390 1
 25226885 1.632084095e+00 1.325841024e+03 3.399658277e-01 4.711529003e+00 -3.407918757e-04 1.851324731e-03  8.514791609e+01 1.672986343e-02  5988  3794 1
 78568736 8.219668638e+00 1.491903414e+03 6.613733485e-01 1.992713510e+01 4.638046314e-03  -1.025957284e-02 8.956425847e+01 1.345208755e-01  5379  4105 1
332202405 4.749233943e+00 1.493828672e+03 5.354580426e-01 7.172724851e+00 -7.915154453e-05 -4.401898763e-03 8.532647383e+01 1.452070514e-01 11011  7842 1
271225404 2.119561409e+00 1.601382182e+03 1.721957934e+00 1.889990423e+01 -9.574945523e-04 3.666686002e-02  8.739833482e+01 1.154935529e+00  4275  3521 1
